Index^Source File^Line Number^Matched Method^MatchedInstruction^Aliases^Classification^Duplicate^Unfixable^Comments
0^vsdk/toolkit/io/image/TargaImage.java^64^vsdk.toolkit.io.image.TargaImage.open(Ljava/io/File;)V^5 = new <Application,Ljava/io/FileInputStream>@13^vsdk.toolkit.io.image.TargaImage.open(Ljava/io/File;)V#7,vsdk.toolkit.io.image.TargaImage.open(Ljava/io/File;)V#10,^INVOKE,^false^false^Normal Fix;
1^vsdk/toolkit/io/image/ImagePersistence.java^96^vsdk.toolkit.io.image.ImagePersistence.importRGBA(Ljava/io/File;)Lvsdk/toolkit/media/RGBAImage;^30 = new <Application,Ljava/io/FileInputStream>@89^vsdk.toolkit.io.image.ImagePersistence.importRGBA(Ljava/io/File;)Lvsdk/toolkit/media/RGBAImage;#32,^INVOKE,^false^false^Try-catch Fix;
2^vsdk/toolkit/io/image/ImagePersistence.java^177^vsdk.toolkit.io.image.ImagePersistence.importRGB(Ljava/io/File;)Lvsdk/toolkit/media/RGBImage;^147 = new <Application,Ljava/io/FileInputStream>@89^vsdk.toolkit.io.image.ImagePersistence.importRGB(Ljava/io/File;)Lvsdk/toolkit/media/RGBImage;#149,^INVOKE,^false^false^Try-catch Fix;
3^vsdk/toolkit/io/image/ImagePersistence.java^199^vsdk.toolkit.io.image.ImagePersistence.importRGB(Ljava/io/File;)Lvsdk/toolkit/media/RGBImage;^33 = new <Application,Ljava/io/FileInputStream>@213^vsdk.toolkit.io.image.ImagePersistence.importRGB(Ljava/io/File;)Lvsdk/toolkit/media/RGBImage;#35,^INVOKE,^false^false^Try-catch Fix;
4^vsdk/toolkit/io/image/ImagePersistence.java^309^vsdk.toolkit.io.image.ImagePersistence.exportJPG(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z^4 = new <Application,Ljava/io/FileOutputStream>@0^NULL^INVOKE,^false^false^Try-catch Fix;
5^vsdk/toolkit/io/image/ImagePersistence.java^359^vsdk.toolkit.io.image.ImagePersistence.exportPNG(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z^4 = new <Application,Ljava/io/FileOutputStream>@0^NULL^INVOKE,^false^false^Try-catch Fix;
6^vsdk/toolkit/io/image/ImagePersistence.java^435^vsdk.toolkit.io.image.ImagePersistence.exportGIF(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z^35 = new <Application,Ljava/io/FileOutputStream>@109^NULL^INVOKE,^false^false^Try-catch Fix;
7^vsdk/toolkit/io/image/ImagePersistence.java^462^vsdk.toolkit.io.image.ImagePersistence.exportPPM(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z^4 = new <Application,Ljava/io/FileOutputStream>@0^vsdk.toolkit.io.image.ImagePersistence.exportPPM(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z#6,^INVOKE,^false^false^Try-catch Fix;
8^vsdk/toolkit/io/image/ImagePersistence.java^511^vsdk.toolkit.io.image.ImagePersistence.exportBMP(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z^4 = new <Application,Ljava/io/FileOutputStream>@0^vsdk.toolkit.io.image.ImagePersistence.exportBMP(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z#6,^INVOKE,^false^false^Try-catch Fix;
9^vsdk/toolkit/io/image/ImagePersistence.java^571^vsdk.toolkit.io.image.ImagePersistence.exportPNM(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z^4 = new <Application,Ljava/io/FileOutputStream>@0^vsdk.toolkit.io.image.ImagePersistence.exportPNM(Ljava/io/File;Lvsdk/toolkit/media/Image;)Z#6,^INVOKE,^false^false^Try-catch Fix;
